StationName,OSTN02Easting,OSTN02Northing,OSGM02Elevation,SourceDatumCode
BLAC,331534.552,431920.792,12.636,1
BRIS,362269.979,169978.688,54.467,1
BUT1,151968.641,966483.777,58.836,4
CARL,339921.133,556034.759,41.077,1
CARM,241124.573,220332.638,27.59,1
COLC,599445.578,225722.824,30.192,1
DARE,357455.831,383290.434,36.75,1
DROI,389544.178,261912.151,51.977,1
EDIN,319188.423,670947.532,66.362,1
FLA1,525745.658,470703.211,41.217,1
GIR1,397160.479,805349.734,58.902,1
GLAS,256340.914,664697.266,17.414,1
INVE,267056.756,846176.969,13.23,1
IOMN,244780.625,495254.884,39.891,3
IOMS,227778.318,468847.386,29.335,3
KING,562180.535,319784.993,20.89,1
LEED,422242.174,433818.699,165.891,1
LIZ1,170370.706,11572.404,71.222,1
LOND,530624.963,178388.461,20.518,1
LYN1,247958.959,393492.906,46.314,1
LYN2,247959.229,393495.58,46.393,1
MALA,167634.19,797067.142,13.19,1
NAS1,292184.858,168003.462,60.615,1
NEWC,424639.343,565012.7,76.551,1
NFO1,639821.823,169565.856,55.11,1
NORT,474335.957,262047.752,83.961,1
NOTT,454002.822,340834.941,45.253,1
OSHQ,438710.908,114792.248,54.029,1
PLYM,250359.798,62016.567,163.081,1
SCP1,449816.359,75335.859,48.571,1
SUM1,440725.061,1107878.445,100.991,6
THUR,299721.879,967202.99,46.011,1
Scilly,91492.135,11318.801,46.882,2
StKilda,9587.897,899448.993,43.424,5
Flannan,71713.12,938516.401,83.594,9
NorthRona,180862.449,1029604.111,85.197,10
SuleSkerry,261596.767,1025447.599,46.347,11
Foula,395999.656,1138728.948,89.901,12
FairIsle,421300.513,1072147.236,50.951,8
Orkney,330398.311,1017347.013,47.978,7
Ork_Main(Ork),337898.195,981746.359,48.631,7
Ork_Main(Main),334198.101,982046.419,48.439,1
